Id,Category,SubCategory,Product,Price,Store,Notes
2261,BEAUTY,,Schick Disposables,$0.99,CVS,
2262,BEAUTY,,"Speed Stick, Men's Singles",$0.49,CVS,
2263,BEAUTY,,"Speed Stick, Women's Singles",$0.49,CVS,
2264,BEAUTY,,Tweezerman Tweezer Set,$9.99,CVS,
2265,BEAUTY,,Wet n Wild Eye Gift Set,$0.99,CVS,
2266,BEAUTY,,Wet n Wild Glam Color Gift Set,$1.99,CVS,
2267,BEAUTY,,Wet n Wild Lip Gift Set,$0.99,CVS,
2268,BEAUTY,,Wet n Wild Nail Gift Set,$0.99,CVS,
2610,BEAUTY,,Airome Diffusers,$19.99,JCPenney,
2611,BEAUTY,,Airone Essential Oils,$5.99-$7.99,JCPenney,
2612,BEAUTY,,Benefits Big Glam Deal,$15.00,JCPenney,
2613,BEAUTY,,Brookstone 3 Node Mini Massager,$19.99,JCPenney,
2614,BEAUTY,,Brookstone Cordless Shiatsu Massaging Seat Topper with Heat,$179.99,JCPenney,
2615,BEAUTY,,Chi Gift Set,$16.99,JCPenney,
2616,BEAUTY,,Design Essentials Gift Set,$12.99,JCPenney,
2617,BEAUTY,,Design Essentials Hair Care Gift Set,$16.99,JCPenney,
2618,BEAUTY,,Haircare Products,50% Off,JCPenney,
2619,BEAUTY,,"JoJo Siwa Hair Bows, All",$4.99,JCPenney,
2620,BEAUTY,,Keracare Gift Set,$16.99,JCPenney,
2621,BEAUTY,,Matrix Biolage Gift Set,$12.99,JCPenney,
2622,BEAUTY,,Olehenriksen T.B.T. Truth Be Toned,$15.00,JCPenney,
2623,BEAUTY,,Ottlite LED Makeup Mirror with Wireless Charging Pad,$59.99,JCPenney,
2624,BEAUTY,,Paul Mitchell American Crew Gift Set,$9.99,JCPenney,
2625,BEAUTY,,Paul Mitchell Gift Set,$12.99,JCPenney,
2626,BEAUTY,,Paul Mitchell Super Skinny Gift Set,$9.99,JCPenney,
2627,BEAUTY,,"Philosophy Purity Made Simple Cleanser, 15oz",$15.00,JCPenney,
2628,BEAUTY,,Redken Gift Set,$16.99,JCPenney,
2629,BEAUTY,,Sephora Collection Arctic Eyeshadow Palette,$10.00,JCPenney,
2630,BEAUTY,,Sephora Collection Enchanted Mountain Eye Shadow Palette,$5.00,JCPenney,
2631,BEAUTY,,Sephora Collection Frosted Party Skincare Surprise,$10.00,JCPenney,
2632,BEAUTY,,Sephora Collection Mini Cream Lip Stain Set,$14.00,JCPenney,
2633,BEAUTY,,Sephora Collection Snow Glow! Face Palette,$10.00,JCPenney,
2634,BEAUTY,,Urbay Decay All Nighter Long Lasting Makeup Setting Spray Mini,$15.00,JCPenney,
2635,BEAUTY,,Wet Brush Curling Iron Combo,$11.99,JCPenney,
2636,BEAUTY,,Wet Brush Flat Iron Combo,$11.99,JCPenney,
3270,BEAUTY,,Bath Gifts,Buy 1 Get 1 50% Off,Kmart,
3271,BEAUTY,,Cosmetic Gifts,Buy 1 Get 1 50% Off,Kmart,
3272,BEAUTY,,Fragrance Gifts,Buy 1 Get 1 50% Off,Kmart,
3385,BEAUTY,,"Beauty, All",20% Off,Kohl's,
3386,BEAUTY,,"BH Cosmetics, Select Styles, Select Styles",$25 & Under,Kohl's,
3387,BEAUTY,,"Burt's Bees Beauty Gifts, Select Styles",$5 & Under,Kohl's,
3388,BEAUTY,,Celebrity Fragrance Gift sets,40% Off,Kohl's,
3389,BEAUTY,,"e.l.f. Beauty Gifts, Select Styles",$5 & Under,Kohl's,
3390,BEAUTY,,"Earth Therapeutics, All",50% Off,Kohl's,
3391,BEAUTY,,"eos Beauty Gifts, Select Styles",$5 & Under,Kohl's,
3392,BEAUTY,,Finishing Touch Flawless Legs Hair Removal Device,$39.99,Kohl's,
3393,BEAUTY,,"Fizz & Bubble Bath & Body, All",50% Off,Kohl's,
3394,BEAUTY,,"Fragrance Gift Sets, All",20% Off,Kohl's,
3395,BEAUTY,,"Fragrances, All",20% Off,Kohl's,
3396,BEAUTY,,"Hair Accessories, All",25% Off,Kohl's,
3397,BEAUTY,,HoMedics Dual Shiatsu Massage Cusion with Heat,$42.49,Kohl's,
3398,BEAUTY,,HoMedics Easy Lounce Shiatsu Massage Chair with Heat,$237.99,Kohl's,
3399,BEAUTY,,HoMedics Shiatsu Air Pro Foot Massager with Heat,$76.49,Kohl's,
3400,BEAUTY,,HoMedics Shiatsu Pro Back Massager with Heat,$42.49,Kohl's,
3401,BEAUTY,,"Laura Geller Beauty Gifts, Select Styles",$10 & Under,Kohl's,
3402,BEAUTY,,"LORAC Beauty Gifts, Select Styles",$25 & Under,Kohl's,
3403,BEAUTY,,"Mini Fragrance Gift Sets, All",$25.00,Kohl's,
3404,BEAUTY,,"NYX Professional Makeup Beauty Gifts, Select Styles",$10 & Under,Kohl's,
3405,BEAUTY,,"NYX Professional Makeup Beauty Gifts, Select Styles",$25 & Under,Kohl's,
3406,BEAUTY,,"philosophy Beauty Gift Sets, Select Styles",$10 & Under,Kohl's,
3407,BEAUTY,,"Pixi Beauty Gifts, Select Styles",$25 & Under,Kohl's,
3408,BEAUTY,,Retinol Skincare,50% Off,Kohl's,
